coin_name,github
AAVE,"https://github.com/aave"
ALGO,"https://github.com/algorand"
APT,"https://github.com/aptos-labs"
ARB,"https://github.com/OffchainLabs"
AVAX,"https://github.com/ava-labs"
AXS,"https://github.com/axieinfinity"
BAT,"https://github.com/brave-intl"
BNB,"https://github.com/bnb-chain"
BTC,"https://github.com/bitcoin"
BCH,"https://github.com/bitcoincashorg"
ADA,"https://github.com/input-output-hk"
LINK,"https://github.com/smartcontractkit"
COMP,"https://github.com/compound-finance"
ATOM,"https://github.com/cosmos"
CRV,"https://github.com/curvefi"
MANA,"https://github.com/decentraland"
DOGE,"https://github.com/dogecoin"
ETH,"https://github.com/ethereum"
ETC,"https://github.com/ethereumclassic"
ENS,"https://github.com/ensdomains"
FTM,"https://github.com/Fantom-foundation"
FIL,"https://github.com/filecoin-project"
SNX,"https://github.com/Synthetixio"
HBAR,"https://github.com/hashgraph"
HYPE,"https://github.com/hyperliquid-dex"
IMX,"https://github.com/immutable"
INJ,"https://github.com/InjectiveLabs"
KSM,"https://github.com/paritytech"
LDO,"https://github.com/lidofinance"
LTC,"https://github.com/litecoin-project"
LRC,"https://github.com/Loopring"
NEAR,"https://github.com/near"
OCEAN,"https://github.com/oceanprotocol"
OP,"https://github.com/ethereum-optimism"
PEPE,"https://github.com/pepecoinppc"
DOT,"https://github.com/paritytech"
XRP,"https://github.com/XRPLF"
SHIB,"https://github.com/shytoshikusama"
SOL,"https://github.com/solana-labs"
XLM,"https://github.com/stellar"
SUI,"https://github.com/MystenLabs"
SUSHI,"https://github.com/sushiswap"
GRT,"https://github.com/graphprotocol"
TON,"https://github.com/ton-blockchain"
SAND,"https://github.com/thesandboxgame"
RUNE,"https://github.com/thorchain"
TRX,"https://github.com/tronprotocol"
UNI,"https://github.com/Uniswap"
YFI,"https://github.com/yearn"
ZEC,"https://github.com/zcash"